Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
797,Merge pull request #651 from terraform-providers/provider-bumps,0.59386426,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
798,Add  pod metadata to replication controller spec template (#193),0.73413193,Do not set default namespace for replication controller and deployment pod templates (#275),,1
799,Merge pull request #130 from terraform-providers/t-aws-ebs,0.55193806,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
800,Cleanup after v1.5.0 release,0.49617082,"2.6.0 (October 19, 2021)",Update persistent_volume.html.markdown,0
801,Add wait block with rollout field to kubernetes_manifest (#1549),0.9059409,Block wait with attribute rollout of kubernetes_manifest (#1549),,1
802,Use locally compiled k8s provider in TC tests (#1195),0.57593524,* Restructure service and ingress to match K8s API (#1071),Update module imdario/mergo to v0.3.7,0
803,Update EKS GH Action workflow (#1855),0.5514404,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,capacity is an argument and thus needs an equal sign,0
804,Remove -i from 'go test' to allow running unit tests locally with go 1.11.5 and GO111MODULE=on (#300),0.4971893,Update all go modules (#1240),,0
805,Merge pull request #822 from aareet/add_issue_grooming,0.5087751,Updates to CONTRIBUTING.md and PULL_REQUESTS.md,Update module Azure/go-autorest to v12,0
806,Add cluster version gate to nonstructural CRD test,0.640376,* Skip tests for CSIDriver if cluster version is less than 1.16,Update horizontal_pod_autoscaler.html.markdown,0
807,Fix deployment selector documentation (#209),0.5872835,Fix documentation example for field_manager block (#1410),,0
808,Add wait_for_service_account_token option for the resource kubernetes_secret(_v1) (#1833),0.88009286,resource/kubernetes_secret: Add a new attribute wait_for_service_account_token and corresponding create timeout,Replaces broken link.,1
809,Add Q3 2020 roadmap (#906),0.52678925,"1.13.3 (October 27, 2020)",Update module vmihailenco/msgpack to v4.0.4,0
810,Fixes kubernetes namespace name to have valid format (#13615),0.7423036,Fix docs formatting for kubernetes_secret (#1434),,1
811,[DO NOT MERGE] RelAPI Onboarding  (#1670),0.50591207,"* Revert ""Filter well known labels and annotations"" (#1298)",Update module hashicorp/vault to v1.1.2,0
812,Check env and exec blocks are fully known,0.51825726,"Tolerate unknown values in ""env"" and ""exec"" provider attributes",Update github.com/keybase/go-crypto commit hash to b785b22,0
813,Cleanup after v1.3.0 release,0.49801147,Generating changelog for release-v2.19.0 from v2.18.1...,Update github.com/gophercloud/gophercloud commit hash to 4885c34,0
814,Update kubernetes dependencies (#1574),0.9999998,Update kubernetes dependencies (#1574),,1
815,Explain behaviour of 'internal' annotations and labels in documentation.,0.7086008,"* Revert ""Filter well known labels and annotations"" (#1298)",,1
816,Bump Go to 1.12.10 and mod tidy.,0.61424005,Bump provider SDK to v1.7.0,,0
817,Update Secret Volume to support items.,0.6246824,* Add secret_namespace to volume_source azure_file (#1204),,0
818,Transfer of provider code,0.52914584,Improve docs for configuring the provider (#1132),Configure Renovate,0
819,Change 'api_version' from 'v1alpha1 ' to 'v1beta1' in documentation (#1828) (#1828),0.528038,"Update documentation and correct some errors (#1768, #1786)",,0
820,Fix namespace resource in ingress example (#1158),0.67043793,Add data sources for namespaces (#613),,0
821,Ignore controller-uid and job-name labels.,0.5037968,Attribute ignore_labels of provider (#746),,0
822,Merge pull request #43 from terraform-providers/vendor-tf-0.10,0.5823051,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
823,Add support for kubernetes_replication_controller (#9),0.8668566,  - kubernetes_replication_controller,Bump Terraform SDK to v0.12.0,1
824,Remove type exceptions for CRD spec.subresources.status. Now covered generically as empty block.,0.58462983,Always generate standard ObjectMeta for CRD types (#1418),,0
825,Update Terraform SDK to v2 (#1027),0.98987913,* Update Terraform SDK to v2 (#1027) ,,1
826,Update storage_class.html.markdown (#1786),0.598379,Recreate Storage Class on VolumeBindingMode update (#757),,0
827,Fix api_group attribute attribute of RBAC subjects. (#331),0.585821,Fix identification of int-or-string type attributes to include 3rd party types defined by aggregated APIs (#1640),Add external_traffic_policy to kubernetes_service,0
828,Add acceptance test for the 'scheduler_name' attribute (#2042),0.59059143,Add validations to service (#1273),,0
829,Update EKS module version to work with terraform 0.15 (#1254),0.7592346,* Update Terraform SDK to v2 (#1027) ,,1
830,update EKS test-infra (#1215),0.6560098,Fix service test leaking ELBs (#947),,0
831,Add backoff_limit attr to Job / CronJob,0.59568775,* Fix kubernetes_cron_job ForceNew when modifying job_template (#1212),,0
832,Clean up makefile to remove duplicate tests (#1286),0.51722705,Fix annotation diffs on affinity tests (#993),Allow max_unavailable and max_surge to be 0,0
833,Align validation of RoleBinding and ClusterRoleBinding resources' names to Kubernetes rules (#583),0.71753395,  - kubernetes_cluster_role_binding,[DOC] add persistent_volume_source local,1
834,Add CODEOWNERS file (#1903),0.5555203,Add resource CertificateSigningRequest (#922),Mention newly created slack channel in README,0
835,Enable update for job to pass tests,0.5406217,Update acceptance tests for tfproviderlint (#887),,0
836,resource/kubernetes_persistent_volume_claim: Improve event log polling for warns,0.5981821,Update docs to reflect Kubernetes service status attribute (#1148),Add support for Pod affinity rules.,0
837,Make delete operation for resources idempotent (#1914),0.73484534,resource/kubernetes_persistent_volume: add additional validation on the delete operation to make it idempotent [GH-1935],,1
838,Acceptance test for kubernetes_manifest import operation,0.82403475,* kubernetes_manifest supports import operations,,1
839,Update vendored libraries,0.5582869,Update kubernetes dependencies (#1574),,0
840,docs/service: Add new exported field,0.66472125,* docs/stateful_set: add import section (#1287),,0
841,Merge pull request #522 from terraform-providers/renovate/github.com-hashicorp-terraform-0.x,0.6693411,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
842,401 configurable delete timeout for kubernetes_namespace resource (#570),0.7740981,resource/kubernetes_ingress_v1: add create and delete timeouts [GH-1936],,1
843,Fix resource_field_ref schema for projected_volume (#1189),0.9999999,Fix resource_field_ref schema for projected_volume (#1189),,1
844,Cleanup after v0.1.1 release,0.5119651,Generating changelog for release-v2.19.0 from v2.18.1...,,0
845,vendor: Ignore github.com/hashicorp/terraform/backend,0.5678961,Attribute ignore_labels of provider (#746),,0
846,Fix github cookie for go-getting in Travis CI (#301),0.52287656,  - kubernetes_config_map,,0
847,Add data_source_kubernetes_service_account docs,0.7469805,Add kubernetes_resource data source (#1548),,1
848,Merge pull request #179 from mrolla/fix-documentation,0.5564077,Documentation fixes,,0
849,Add kubernetes_token_request resource (#2024),0.85362256,New Resource: kubernetes_token_request_v1. [GH-2024],,1
850,Remove reference to beta status of kubernetes_manifest,0.881493,"Remove ""beta"" designation of the kubernetes_manifest from documentation","This allows for the valid case where either max_surge or max_unavailable is 0 but the other is non-0. At least one of these must be non-0, which means this change will allow both values to be set to 0 which could cause issues. Suggest some way of validating a resource (potentially add some kind of validation function parameter to schema.Resource?) to ensure dependencies between different parameters are being met.",1
851,bugfix: should not force new resource for deployment when affinity label selectors change (#755),0.69784856,Don't force replacement StatefulSet / Deployment when affinity rule selectors change (#755),  Bump Terraform SDK to RC1   Re-vendor after SDK bump   Bump vendored AWS provider to v2.10.0   Revendor after AWS provider bump ,0
852,Add Kubernetes Job - wait_for_completion functionality (#625),0.9823275,* Add Kubernetes Job 'wait_for_completion' functionality (#625),,1
853,Explicitly skip check if ttlAfterFinished gate is not enabled,0.48828062,* Fix cronJob.ttl_seconds_after_finished causing requests to fail even without value specified (#929),,0
854,Cleanup after v1.11.1 release,0.5122388,"2.6.0 (October 19, 2021)",,0
855,Add publish_not_ready_addresses to kubernetes_service (#306),0.63957244,Add wait_for_rollout to kubernetes_deployment resource (#863),,0
856,Update manifest/provider/configure.go,0.64420795,Update Go dependencies (#968),,0
857,Bump terraform-plugin-go to v0.3.1 (#1449),0.8015516,Update terraform-plugin-go and terraform-plugin-sdk (#1551),"The official Kubernetes explicitly prevents the use of annotations and labels that have “kubernetes.io” as part of the key name. This is because these are often added server side, by the Kubernetes API and would cause a diff on the Terraform side which has no knowledge of the key. This commit updates the Terraform logic to allow kubernetes.io keys, but on Read, strip any that aren’t found in the Terraform config / schema. This way a diff is not triggered.",1
858,Merge pull request #471 from terraform-providers/renovate/github.com-azure-go-autorest-12.x,0.6195547,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
859,Add new data source and resource attributes of kubernetes_service(_v1) (#1700),0.8754343,Add kubernetes_resource data source (#1548),,1
860,Update github.com/gophercloud/gophercloud commit hash to 4885c34,0.59551996,Update Go dependencies (#968),,0
861,Fix regression tests and remove self_link from metadata (#1110),0.8192731,Remove self_link from metadata (#1294),  Add doc examples for container health probes.   Liveness probe example in Pod docs ,1
862,preliminary support for service account data source,0.6919922,Add data sources for config_map and service_account,Add kubernetes_ingress resource,0
863,bump-v3-yaml (#1727),0.57682097,Bump provider SDK to v1.7.0,,0
864,Cleanup after v1.7.0 release,0.48350394,Refactor client config initialization and fix in-cluster config (#679) (#497),,0
865,Update changelog for next release (#1290),0.7801125,Generating changelog for release-v2.19.0 from v2.18.1...,,1
866,Don't repeat reading OpenAPI spec after each apply,0.48437762,"* Normalize wait defaults across Deployment, DaemonSet, StatefulSet, Service, Ingress, and Job (#1053)",,0
867,Refactor Typhoon test configuration to allow selection between 1.18.x and 1.19.x versions of Kubernetes. (#992),0.95350707,Refactor Typhoon test configuration to allow selection of Kubernetes version (#992),,1
868,Update getting started guide to Terraform 0.12 syntax. (#544),0.783679,* Update Terraform SDK to v2 (#1027) ,follow-up on terraform-providers/terraform-provider-kubernetes#267,1
869,rnd-ify sa name for TestAccKubernetesPod_config_with_automount_service_account_token,0.63320065,Fix kubernetes_default_service_account doesn't set the automount_service_account_token to false (#1247),"Add run_as_group property to container and pod security contexts, update documentation and acceptance tests",0
870,Add Pod tolerations,0.6571107,Add validations to container PodSpec (#1275),  Add test case to demonstrate failure when binary data is passed in data field of kubernetes_config_map   Add support for binary_data to kubernetes_config_map   Add validateBase64Encoded() validator function   Fix test configs for tf-0.12 compatibility   Add validateBase64EncodedMap validation to config_map binary_data   Add test case to demonstrate failure when binary data is passed base64 encoded in binary_data field of kubernetes_config_map   Decode/encode config_map binary_data base64 encoded data before/after it to/from the apiserver   Renamed byteMapToBase64Map/byteMapToStringMap to flattenByteMapToBase64Map/flattenByteMapToStringMap ,0
