Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
4479,internal/server: use JobPeek,0.6342677,cli: Implement waypoint job get-stream to allow users to attach to running job,This commit prints the next poll time and initial poll time. The test seems to flake enough but it's unclear why the nextPollTime isn't after the initial poll time. This commit should hopefully show us each poll time.,0
4480,Fix grammar typo in intro,0.3573381,"core: Fix panic if no Use stanza found for given workspace scope on a build,",More helpful error when no HEAD reference is found.,0
4481,Update uninstall and upgrade cli docs,0.60146797,cli: Print warning and help docs if required flags for upgrade are not included [GH-1372],[Website] Footer links and status indicators,0
4482,Merge pull request #3477 from hashicorp/WAYP-239-get-test-job-heartbeat-to-pass,0.5183147,core: Fix out of order job ids for waypoint pipeline run job stream CLI. [GH-3946],internal/runner: Set runner state to stateExit when a runner fails to receive configuration,0
4483,Merge pull request #1123 from matoous/md/cloud-run-connections,0.5017805,install/nomad: Fix connectivity to Waypoint server from the CLI at the end of,,0
4484,ui: improve <ImageRef> truncation,0.5907669,plugin/docker: Resolve image identifiers properly [GH-2067],,0
4485,auto-updated pkg/server/gen/bindata_ui.go from commit aad388427,0.6077897,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,,0
4486,Pivoting to ReactJS instead,0.45470482,start a trigger via HTTP and stream the job event stream output directly over,,0
4487,Merge pull request #1439 from hashicorp/dependabot/npm_and_yarn/website/lodash-4.17.21,0.46184886,ui: Fix crash when encountering resources without IDs [GH-3929],Also code formatting,0
4488,auto-updated pkg/server/gen/bindata_ui.go from commit e75c20a30,0.607272,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,"If the git repo doesn't exist, or git isn't installed, the init command will fail. The only case I can think of where Head will fail is when a repo has been initialized, but no commit has yet been made, which isn't that uncommon for a brand new app.",0
4489,Merge pull request #4100 from hashicorp/job-list-pipeline,0.60687804,core: Fix out of order job ids for waypoint pipeline run job stream CLI. [GH-3946],,0
4490,internal/server/state: tests,0.5296825,core: runners can tolerate a server outage during job execution and will,ui: remove unused imports,0
4491,Update app to be application,0.54889953,cli: Update base commands to default to all apps within the project if project has more than one application [GH-2413],,0
4492,ui: npx ember-cli-update --to 3.28,0.6139581,"0.3.0 (April 08, 2021)",,0
4493,serverinstall/k8s: Include ODR image setting on upgrades for helm,0.6991298,cli: Refactor k8s server install to use Helm [GH-3335],"This change hooks up grpc-web’s interceptor system to ember’s test waiter system, giving us automatic tracking of in-flight gRPC requests.",0
4494,auto-updated internal/server/gen/bindata_ui.go from commit e5dae43e,0.5824245,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,ui: avoid loading all status reports,0
4495,internal/cli: list builds in start time descending,0.5379883,cli: Fix order of CLI outputs during install [GH-3729],"ODR launching uses dependent jobs, calls StopTask on completion",0
4496,Fix spaces,0.4942562,"core: Fix panic if no Use stanza found for given workspace scope on a build,",Add a flag to choose the waypoint kubernetes namespace,0
4497,Merge pull request #3792 from hashicorp/pipeline-list-fix,0.5123836,cli: Fix panic in waypoint pipeline list and waypoint pipeline inspect where,,0
4498,Make UserFromContext public.,0.52209574,The release configuration can use artifact.* and deploy.* to access metadata.,,0
4499,website: grammar,0.41092715,context. [GH-2353],docs: Add doc for implementing Resource Manager for plugin authors,0
4500,internal/ceb: config source tests,0.5867753,plugin/aws-lambda: Add platform config validation. [GH-3193],internal/server/state: job creation happens in dependency order,0
4501,chore: @hashicorp/react-docs-page@14.6.0,0.5728834,http. [GH-2970],"This does two things: (1) Checks that jobs being created have no cycles between each other. We only need to check ""between each other"" because job creation requires all dependencies already exist. This means that previously created jobs new jobs might depend on can't possibly cycle. Therefore, we only need to check for cycles amongst newly created jobs. (2) Use a topological sort over the dependencies to ensure that we're creating the jobs in the correct order. This allows JobCreate(C, B, A) to work even if the order of the jobs to run based on deps is A, B, C This brings in the graph package from go-argmapper, a graph package that is fairly proven at this point; there have been no graph bugs since releasing Waypoint and it has full test coverage.",0
4502,Additional checks on Pod condition for determining overall report health,0.5013955,pod autoscaler for each deployment. [GH-2309],"Without this, if you install the chart into a non-default namespace, it appears to be impossible to use login -from-kubernetes.",0
4503,internal/cli: DRY up the execclient configuration logic,0.63792306,internal/cli: Fix waypoint exec workspace selection [GH-3226],,0
4504,Rename AppPoll vars to AppStatusPoll,0.45380342,config: Add ${app.name} variable [GH-1709],,0
4505,internal/client: timeout on opening and locking bolt db,0.47920176,server/runner: Correctly exit liveness listener when connection is closed [GH-1732],,0
4506,Update FindServices ECS helper function to return only one service.,0.52329695,serverinstall/ecs: Improve server upgrade process by stopping task and reducing,,0
4507,Update var comments to reflect appl to app name change,0.5414343,config: Add ${app.name} variable [GH-1709],,0
4508,rm changelog,0.49299628,cli: Setting configurations in a runner profile no longer resets unspecified configuration [GH-3854],,0
4509,internal/config: configdynamic(),0.6302308,core: configdynamic has been renamed to dynamic. The existing function,,0
4510,website-mdx (removing the -odr flag from docs),0.49362338,Use server uninstall to remove the Waypoint server and artifacts from the,,0
4511,CLI: Add waypoint job command for job management,0.77197343,cli: Implement waypoint job get-stream to allow users to attach to running job,,1
4512,builtin: add a simple 'files' builder,0.5481699,plugin/docker: Add support for build args for both docker and img builders [GH-1346],internal/server: support job dependencies that can fail,0
4513,internal/runner: use datasource pkg,0.65541756,plugin/k8s: Add ephemeral-storage resource limits to on-demand runners through runner profiles. [GH-3676],,0
4514,fix: set CSI params for Nomad runner install.,0.82085145,install/nomad: Add support for CSI params & secrets to Nomad install [GH-3279],This commit adds a basic high level guide on how to implement the Resource Manager framework from the Waypoint Plugin SDK for a plugin.,1
4515,Merge pull request #3388 from hashicorp/kevin/docs-troubleshooting,0.5250763,plugin/k8s: fix issue when destroying multiple deployments [GH-3111],serverinstall/ecs: fix copy-pasta,0
4516,Changelog: 1658,0.60869706,ui: unread log count resets after scrolling [GH-1373],,0
4517,Merge pull request #2489 from hashicorp/set-runner-profile,0.4960569,cli: Fix project apply to set runner profiles by name [GH-2489],Closes #2561,0
4518,add breaking changes notes,0.54521716,BREAKING CHANGES:,ui: improve docker reference parsing,0
4519,Merge pull request #1104 from hashicorp/k8s-runner,0.524031,"runner-install/k8s: Use the service account created by helm in the runner profile, rather than using the default service account. [GH-3894]",Closes #2484,0
4520,website: exec,0.45541748,ui: Add Exec Terminal to the web UI [GH-2849],"This introduces a new field to jobs depends_on_allow_failures that is a list of IDs that are dependencies that are allowed to fail. This can be used along with depends_on to create an ordered chain of jobs that are executed even if a dependency fails. The use case for this is ODR because we want to do the following: ┌───────────────┐        ┌───────────────┐        ┌───────────────┐ │               │        │   Real Job    │        │               │ │   Start ODR   │◀───────│ (Build, etc.) │◀───────│   Stop ODR    │ │               │        │               │        │               │ └───────────────┘        └───────────────┘        └───────────────┘         ▲                                                 │         │                                                 │         └─────────────────────────────────────────────────┘                            Allows Failure We want ""stop ODR"" to run NO MATTER WHAT to try to stop the launched ODR. We definitely want this to run if the ""real job"" failed, and we probably want it to run even if ""start ODR"" failed just in case we can stop some sort of dangling runner (depends on the error condition). Without this feature, we could only stop ODR if everything succeeded OR force ourselves to maintain external state to call stop ODR. This feature lets us just leverage the job system.",0
4521,docs: update go-bindata install cmd,0.5753911,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,website: fix algolia index job,0
4522,support local deploys,0.55157423,ui: Deployment resources [GH-2317],internal/server/state: fix flaky AppOperation test,0
4523,Fix form action on sign in button,0.4056501,start a trigger via HTTP and stream the job event stream output directly over," Move added packages into their own files Expose legacyPackages, overlay, and overlays attr in flake output Use protobuf3_15 instead of override Add devShell to overlay",0
4524,ui: auto-fix linting issues in deployment route,0.5760709,install/nomad: Fix connectivity to Waypoint server from the CLI at the end of,"This test could fail if it ordered the times in such a way that the latest time was at index 0, because then the latest would have sequence 1 and later in the test we search for the operation with sequence ""latest - 1"" and sequence 0 doesn't exist. This ensures that latest is never index 0.",0
